Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,Lower middle income,LMC,2020,YR2020,..,..,3.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.4,..,..,2230.7
Food Prices for Nutrition Data,FPN,Luxembourg,LUX,2017,YR2017,0.335,2.038,2.492,7.44,0.762,0.53,0.208,0.656,0.28,0.056,0.306,0.213,0.083,0.263,0.112,0.022,3.66,2.55,3.15,1.35,0.27,0.338,2.059,2.517,0.04,0.244,0.298,0.1,0.4,0.4,0,0,0
Food Prices for Nutrition Data,FPN,Luxembourg,LUX,2018,YR2018,..,..,2.627,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.654,..,..,..,..,..,0.4,..,..,0
Food Prices for Nutrition Data,FPN,Luxembourg,LUX,2019,YR2019,..,..,2.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.626,..,..,..,..,..,0.1,..,..,0
Food Prices for Nutrition Data,FPN,Luxembourg,LUX,2020,YR2020,..,..,2.661,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.688,..,..,..,..,..,0.1,..,..,0
Food Prices for Nutrition Data,FPN,Madagascar,MDG,2017,YR2017,1.079,2.589,2.987,2.77,0.563,0.324,0.555,1.02,0.328,0.197,0.188,0.108,0.186,0.341,0.11,0.066,1.01,0.58,1.84,0.59,0.35,1.09,2.615,3.017,0.588,1.41,1.627,77.8,95.8,97.1,19.9,24.5,24.8
Food Prices for Nutrition Data,FPN,Madagascar,MDG,2018,YR2018,..,..,3.122,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.154,..,..,..,..,..,97.1,..,..,25.5
Food Prices for Nutrition Data,FPN,Madagascar,MDG,2019,YR2019,..,..,3.154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.186,..,..,..,..,..,97,..,..,26.2
Food Prices for Nutrition Data,FPN,Madagascar,MDG,2020,YR2020,..,..,3.181,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.213,..,..,..,..,..,97,..,..,26.9
Food Prices for Nutrition Data,FPN,Malawi,MWI,2017,YR2017,0.285,1.616,2.724,9.56,0.396,0.61,0.328,1.085,0.13,0.176,0.145,0.224,0.12,0.398,0.048,0.065,1.21,1.86,3.31,0.4,0.54,0.288,1.632,2.752,0.219,1.243,2.095,3.5,86.3,95.5,0.6,15.3,16.9
