Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,Mexico,MEX,2020,YR2020,..,..,3.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.326,..,..,..,..,..,26.3,..,..,33.9
Food Prices for Nutrition Data,FPN,Middle East & North Africa,MEA,2017,YR2017,0.737,2.032,3.14,..,0.652,0.601,0.461,0.941,0.345,0.141,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9,19.2,38.7,2.9,64.6,130.4
Food Prices for Nutrition Data,FPN,Middle East & North Africa,MEA,2018,YR2018,..,..,3.223,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.5,..,..,135.6
Food Prices for Nutrition Data,FPN,Middle East & North Africa,MEA,2019,YR2019,..,..,3.308,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.1,..,..,139.9
Food Prices for Nutrition Data,FPN,Middle East & North Africa,MEA,2020,YR2020,..,..,3.37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.5,..,..,136.7
Food Prices for Nutrition Data,FPN,Moldova,MDA,2017,YR2017,0.802,1.683,2.46,3.07,0.432,0.339,0.462,0.746,0.36,0.121,0.176,0.138,0.188,0.303,0.146,0.049,0.94,0.73,1.61,0.78,0.26,0.81,1.7,2.485,0.116,0.243,0.355,0,0.7,5.9,0,0,0.2
Food Prices for Nutrition Data,FPN,Moldova,MDA,2018,YR2018,..,..,2.571,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.597,..,..,..,..,..,4.7,..,..,0.1
Food Prices for Nutrition Data,FPN,Moldova,MDA,2019,YR2019,..,..,2.687,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.714,..,..,..,..,..,5.8,..,..,0.2
Food Prices for Nutrition Data,FPN,Moldova,MDA,2020,YR2020,..,..,2.814,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.842,..,..,..,..,..,6.7,..,..,0.2
Food Prices for Nutrition Data,FPN,Mongolia,MNG,2017,YR2017,0.743,2.259,4.544,6.12,1.921,0.68,0.553,0.756,0.468,0.167,0.423,0.15,0.122,0.166,0.103,0.037,3.47,1.23,1.37,0.85,0.3,0.751,2.282,4.59,0.16,0.487,0.979,0.1,12.7,55.3,0,0.4,1.7
Food Prices for Nutrition Data,FPN,Mongolia,MNG,2018,YR2018,..,..,4.667,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.714,..,..,..,..,..,52.8,..,..,1.7
Food Prices for Nutrition Data,FPN,Mongolia,MNG,2019,YR2019,..,..,4.901,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.951,..,..,..,..,..,49.4,..,..,1.6
Food Prices for Nutrition Data,FPN,Mongolia,MNG,2020,YR2020,..,..,5.103,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.155,..,..,..,..,..,51.4,..,..,1.7
Food Prices for Nutrition Data,FPN,Montenegro,MNE,2017,YR2017,0.551,2.294,3.397,6.17,0.833,0.829,0.425,0.862,0.367,0.081,0.245,0.244,0.125,0.254,0.108,0.024,1.96,1.95,2.03,0.86,0.19,0.557,2.317,3.431,0.05,0.209,0.31,1.6,9.5,17.4,0,0.1,0.1
Food Prices for Nutrition Data,FPN,Montenegro,MNE,2018,YR2018,..,..,3.414,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.448,..,..,..,..,..,18.1,..,..,0.1
Food Prices for Nutrition Data,FPN,Montenegro,MNE,2019,YR2019,..,..,3.509,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.544,..,..,..,..,..,17.8,..,..,0.1
Food Prices for Nutrition Data,FPN,Montenegro,MNE,2020,YR2020,..,..,3.494,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.529,..,..,..,..,..,17.5,..,..,0.1
Food Prices for Nutrition Data,FPN,Montserrat,MSR,2017,YR2017,1.381,3.684,4.883,3.54,0.876,1.785,0.76,0.799,0.462,0.201,0.179,0.366,0.156,0.164,0.095,0.041,1.15,2.35,1.05,0.61,0.26,1.395,3.721,4.932,0.222,0.591,0.784,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Montserrat,MSR,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Montserrat,MSR,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Montserrat,MSR,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Morocco,MAR,2017,YR2017,0.608,1.912,2.71,4.46,0.539,0.485,0.41,0.798,0.358,0.119,0.199,0.179,0.151,0.294,0.132,0.044,1.31,1.18,1.95,0.87,0.29,0.614,1.931,2.737,0.144,0.452,0.641,0.1,7.1,18.9,0,2.5,6.7
Food Prices for Nutrition Data,FPN,Morocco,MAR,2018,YR2018,..,..,2.752,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.78,..,..,..,..,..,17.5,..,..,6.3
Food Prices for Nutrition Data,FPN,Morocco,MAR,2019,YR2019,..,..,2.759,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.787,..,..,..,..,..,16.7,..,..,6.1
Food Prices for Nutrition Data,FPN,Morocco,MAR,2020,YR2020,..,..,2.797,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.825,..,..,..,..,..,16.7,..,..,6.2
Food Prices for Nutrition Data,FPN,Mozambique,MOZ,2017,YR2017,0.383,1.969,3.031,7.91,0.389,0.843,0.408,0.993,0.208,0.191,0.128,0.278,0.135,0.328,0.069,0.063,0.95,2.07,2.43,0.51,0.47,0.387,1.989,3.062,0.244,1.255,1.932,13.3,83.5,91.3,3.8,23.9,26.2
Food Prices for Nutrition Data,FPN,Mozambique,MOZ,2018,YR2018,..,..,2.988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.018,..,..,..,..,..,90.7,..,..,26.8
Food Prices for Nutrition Data,FPN,Mozambique,MOZ,2019,YR2019,..,..,3.057,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.088,..,..,..,..,..,90.9,..,..,27.6
Food Prices for Nutrition Data,FPN,Mozambique,MOZ,2020,YR2020,..,..,3.228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.261,..,..,..,..,..,91.5,..,..,28.6
Food Prices for Nutrition Data,FPN,Myanmar,MMR,2017,YR2017,0.91,2.6,3.706,4.07,0.64,0.913,0.645,1.029,0.368,0.111,0.173,0.246,0.174,0.278,0.099,0.03,0.99,1.42,1.6,0.57,0.17,0.919,2.626,3.743,0.254,0.726,1.034,0.6,39.2,68.1,0.3,20.9,36.3
Food Prices for Nutrition Data,FPN,Myanmar,MMR,2018,YR2018,..,..,3.786,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.824,..,..,..,..,..,63.6,..,..,34.2
Food Prices for Nutrition Data,FPN,Myanmar,MMR,2019,YR2019,..,..,3.861,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.9,..,..,..,..,..,59.7,..,..,32.3
Food Prices for Nutrition Data,FPN,Myanmar,MMR,2020,YR2020,..,..,4.186,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.228,..,..,..,..,..,65.1,..,..,35.4
Food Prices for Nutrition Data,FPN,Namibia,NAM,2017,YR2017,1.009,1.839,3.255,3.23,0.811,0.83,0.571,0.736,0.192,0.115,0.249,0.255,0.175,0.226,0.059,0.035,1.42,1.45,1.29,0.34,0.2,1.019,1.858,3.288,0.304,0.553,0.979,13.4,32.4,54.4,0.3,0.8,1.3
Food Prices for Nutrition Data,FPN,Namibia,NAM,2018,YR2018,..,..,3.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.333,..,..,..,..,..,54.3,..,..,1.3
Food Prices for Nutrition Data,FPN,Namibia,NAM,2019,YR2019,..,..,3.378,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.412,..,..,..,..,..,55.5,..,..,1.4
Food Prices for Nutrition Data,FPN,Namibia,NAM,2020,YR2020,..,..,3.52,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.556,..,..,..,..,..,56.8,..,..,1.4
Food Prices for Nutrition Data,FPN,Nepal,NPL,2017,YR2017,0.987,2.565,4.127,4.18,1.025,0.711,0.507,1.38,0.337,0.166,0.248,0.172,0.123,0.334,0.082,0.04,2.02,1.4,2.72,0.66,0.33,0.997,2.591,4.169,0.253,0.657,1.057,5.9,64.3,86.8,1.6,17.8,24
Food Prices for Nutrition Data,FPN,Nepal,NPL,2018,YR2018,..,..,4.145,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.187,..,..,..,..,..,84.5,..,..,23.7
Food Prices for Nutrition Data,FPN,Nepal,NPL,2019,YR2019,..,..,4.222,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.265,..,..,..,..,..,83.3,..,..,23.8
Food Prices for Nutrition Data,FPN,Nepal,NPL,2020,YR2020,..,..,4.362,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.406,..,..,..,..,..,84,..,..,24.5
Food Prices for Nutrition Data,FPN,Netherlands,NLD,2017,YR2017,0.297,1.771,2.743,9.24,0.607,0.892,0.322,0.614,0.255,0.053,0.221,0.325,0.117,0.224,0.093,0.019,1.89,2.77,1.91,0.79,0.16,0.3,1.789,2.771,0.043,0.254,0.394,0,0.3,0.4,0,0,0.1
Food Prices for Nutrition Data,FPN,Netherlands,NLD,2018,YR2018,..,..,2.821,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.849,..,..,..,..,..,0.3,..,..,0.1
Food Prices for Nutrition Data,FPN,Netherlands,NLD,2019,YR2019,..,..,2.844,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.873,..,..,..,..,..,0.2,..,..,0
Food Prices for Nutrition Data,FPN,Netherlands,NLD,2020,YR2020,..,..,2.991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.021,..,..,..,..,..,0.2,..,..,0
Food Prices for Nutrition Data,FPN,New Zealand,NZL,2017,YR2017,0.489,2.223,2.671,5.46,0.663,0.6,0.313,0.739,0.299,0.056,0.248,0.225,0.117,0.277,0.112,0.021,2.12,1.92,2.36,0.96,0.18,0.494,2.245,2.698,0.058,0.265,0.319,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,New Zealand,NZL,2018,YR2018,..,..,2.589,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.615,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,New Zealand,NZL,2019,YR2019,..,..,2.692,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.719,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,New Zealand,NZL,2020,YR2020,..,..,2.723,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.751,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Nicaragua,NIC,2017,YR2017,1.436,2.489,3.191,2.22,0.373,0.743,0.587,1.016,0.331,0.14,0.117,0.233,0.184,0.318,0.104,0.044,0.64,1.27,1.73,0.56,0.24,1.451,2.514,3.223,0.421,0.729,0.935,5.7,21.2,32.2,0.4,1.4,2.1
Food Prices for Nutrition Data,FPN,Nicaragua,NIC,2018,YR2018,..,..,3.245,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.278,..,..,..,..,..,34.4,..,..,2.2
Food Prices for Nutrition Data,FPN,Nicaragua,NIC,2019,YR2019,..,..,3.279,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.312,..,..,..,..,..,35.5,..,..,2.3
Food Prices for Nutrition Data,FPN,Nicaragua,NIC,2020,YR2020,..,..,3.335,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.369,..,..,..,..,..,35.7,..,..,2.4
Food Prices for Nutrition Data,FPN,Niger,NER,2017,YR2017,0.608,1.658,2.85,4.69,0.601,0.473,0.401,1.138,0.094,0.144,0.211,0.166,0.141,0.399,0.033,0.051,1.5,1.18,2.84,0.23,0.36,0.614,1.675,2.879,0.867,2.364,4.064,9.9,72.5,91.1,2.1,15.7,19.7
Food Prices for Nutrition Data,FPN,Niger,NER,2018,YR2018,..,..,2.812,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.84,..,..,..,..,..,89.2,..,..,20
Food Prices for Nutrition Data,FPN,Niger,NER,2019,YR2019,..,..,2.792,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.82,..,..,..,..,..,88.5,..,..,20.6
Food Prices for Nutrition Data,FPN,Niger,NER,2020,YR2020,..,..,2.859,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.888,..,..,..,..,..,88.8,..,..,21.5
Food Prices for Nutrition Data,FPN,Nigeria,NGA,2017,YR2017,1.382,2.115,3.565,2.58,0.522,0.932,0.757,0.994,0.23,0.13,0.146,0.261,0.212,0.279,0.065,0.036,0.69,1.23,1.31,0.3,0.17,1.396,2.136,3.601,0.234,0.358,0.603,55.3,78.1,94.1,105.6,149,179.7
Food Prices for Nutrition Data,FPN,Nigeria,NGA,2018,YR2018,..,..,3.724,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.762,..,..,..,..,..,94.8,..,..,185.6
Food Prices for Nutrition Data,FPN,Nigeria,NGA,2019,YR2019,..,..,3.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.909,..,..,..,..,..,95.3,..,..,191.5
Food Prices for Nutrition Data,FPN,Nigeria,NGA,2020,YR2020,..,..,4.093,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.134,..,..,..,..,..,95.9,..,..,197.6
Food Prices for Nutrition Data,FPN,North America,NAC,2017,YR2017,0.892,3.011,3.386,..,0.587,1.103,0.611,0.608,0.375,0.101,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,1.4,1.9,4.1,5.1,6.8
Food Prices for Nutrition Data,FPN,North America,NAC,2018,YR2018,..,..,3.331,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,..,..,6
Food Prices for Nutrition Data,FPN,North America,NAC,2019,YR2019,..,..,3.325,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,5.1
Food Prices for Nutrition Data,FPN,North America,NAC,2020,YR2020,..,..,3.336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,5.2
Food Prices for Nutrition Data,FPN,North Macedonia,MKD,2017,YR2017,0.73,2.972,3.318,4.55,0.64,0.712,0.525,0.949,0.347,0.146,0.193,0.215,0.158,0.286,0.105,0.044,1.22,1.36,1.81,0.66,0.28,0.737,3.002,3.352,0.096,0.389,0.434,2.6,17.7,21.8,0.1,0.4,0.5
Food Prices for Nutrition Data,FPN,North Macedonia,MKD,2018,YR2018,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.343,..,..,..,..,..,18.8,..,..,0.4
Food Prices for Nutrition Data,FPN,North Macedonia,MKD,2019,YR2019,..,..,3.336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.37,..,..,..,..,..,17.5,..,..,0.4
Food Prices for Nutrition Data,FPN,North Macedonia,MKD,2020,YR2020,..,..,3.427,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.462,..,..,..,..,..,18,..,..,0.4
Food Prices for Nutrition Data,FPN,Norway,NOR,2017,YR2017,1.122,2.849,3.325,2.96,0.615,1.122,0.565,0.691,0.257,0.075,0.185,0.337,0.17,0.208,0.077,0.023,1.09,1.99,1.22,0.45,0.13,1.133,2.878,3.359,0.15,0.382,0.446,0.3,0.5,0.5,0,0,0
Food Prices for Nutrition Data,FPN,Norway,NOR,2018,YR2018,..,..,3.432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.467,..,..,..,..,..,0.4,..,..,0
Food Prices for Nutrition Data,FPN,Norway,NOR,2019,YR2019,..,..,3.356,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.39,..,..,..,..,..,0.3,..,..,0
Food Prices for Nutrition Data,FPN,Norway,NOR,2020,YR2020,..,..,3.471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.506,..,..,..,..,..,0.4,..,..,0
Food Prices for Nutrition Data,FPN,Oman,OMN,2017,YR2017,0.522,1.899,2.815,5.39,0.378,0.599,0.496,0.842,0.351,0.148,0.134,0.213,0.176,0.299,0.125,0.053,0.76,1.21,1.7,0.71,0.3,0.527,1.918,2.843,0.072,0.263,0.39,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Oman,OMN,2018,YR2018,..,..,2.838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.867,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Oman,OMN,2019,YR2019,..,..,2.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.951,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Oman,OMN,2020,YR2020,..,..,3.021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.052,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Pakistan,PAK,2017,YR2017,0.768,1.946,3.408,4.44,0.923,0.524,0.41,1.019,0.34,0.193,0.271,0.154,0.12,0.299,0.1,0.057,2.25,1.28,2.49,0.83,0.47,0.776,1.966,3.442,0.209,0.53,0.928,0.2,38.4,79.7,0.4,79.9,165.7
Food Prices for Nutrition Data,FPN,Pakistan,PAK,2018,YR2018,..,..,3.395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.429,..,..,..,..,..,79,..,..,167.6
Food Prices for Nutrition Data,FPN,Pakistan,PAK,2019,YR2019,..,..,3.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.495,..,..,..,..,..,81.2,..,..,175.9
Food Prices for Nutrition Data,FPN,Pakistan,PAK,2020,YR2020,..,..,3.685,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.722,..,..,..,..,..,83.5,..,..,184.4
Food Prices for Nutrition Data,FPN,Panama,PAN,2017,YR2017,1.128,3.224,4.225,3.75,0.654,1.295,0.69,1.11,0.306,0.17,0.155,0.307,0.163,0.263,0.072,0.04,0.95,1.88,1.61,0.44,0.25,1.139,3.257,4.268,0.138,0.394,0.516,2.7,14.7,21.1,0.1,0.6,0.9
Food Prices for Nutrition Data,FPN,Panama,PAN,2018,YR2018,..,..,4.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.311,..,..,..,..,..,18.5,..,..,0.8
Food Prices for Nutrition Data,FPN,Panama,PAN,2019,YR2019,..,..,4.382,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.426,..,..,..,..,..,18,..,..,0.8
Food Prices for Nutrition Data,FPN,Panama,PAN,2020,YR2020,..,..,4.476,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.521,..,..,..,..,..,18.2,..,..,0.8
Food Prices for Nutrition Data,FPN,Paraguay,PRY,2017,YR2017,0.95,3.886,3.43,3.61,0.455,0.724,0.474,0.809,0.826,0.142,0.133,0.211,0.138,0.236,0.241,0.041,0.96,1.53,1.71,1.74,0.3,0.96,3.925,3.465,0.162,0.662,0.585,0.5,24.8,20.1,0,1.7,1.4
Food Prices for Nutrition Data,FPN,Paraguay,PRY,2018,YR2018,..,..,3.511,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.546,..,..,..,..,..,18.7,..,..,1.3
Food Prices for Nutrition Data,FPN,Paraguay,PRY,2019,YR2019,..,..,3.519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.555,..,..,..,..,..,17.9,..,..,1.3
Food Prices for Nutrition Data,FPN,Paraguay,PRY,2020,YR2020,..,..,3.543,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.579,..,..,..,..,..,17.8,..,..,1.3
Food Prices for Nutrition Data,FPN,Peru,PER,2017,YR2017,0.916,2.24,3.084,3.37,0.57,0.552,0.591,0.898,0.35,0.122,0.185,0.179,0.192,0.291,0.113,0.04,0.96,0.93,1.52,0.59,0.21,0.925,2.263,3.115,0.207,0.505,0.696,2.2,14.5,23.7,0.7,4.6,7.5
Food Prices for Nutrition Data,FPN,Peru,PER,2018,YR2018,..,..,3.061,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.092,..,..,..,..,..,20.9,..,..,6.7
Food Prices for Nutrition Data,FPN,Peru,PER,2019,YR2019,..,..,3.248,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.281,..,..,..,..,..,20.6,..,..,6.7
Food Prices for Nutrition Data,FPN,Peru,PER,2020,YR2020,..,..,3.285,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.318,..,..,..,..,..,20.5,..,..,6.8
Food Prices for Nutrition Data,FPN,Philippines,PHL,2017,YR2017,1.158,2.82,3.843,3.32,0.591,0.953,0.684,1.095,0.319,0.201,0.154,0.248,0.178,0.285,0.083,0.052,0.86,1.39,1.6,0.47,0.29,1.17,2.848,3.882,0.176,0.43,0.586,7.5,54.2,71,7.9,57.1,74.6
Food Prices for Nutrition Data,FPN,Philippines,PHL,2018,YR2018,..,..,3.998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.038,..,..,..,..,..,71,..,..,75.7
Food Prices for Nutrition Data,FPN,Philippines,PHL,2019,YR2019,..,..,4.054,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.095,..,..,..,..,..,68.6,..,..,74.2
Food Prices for Nutrition Data,FPN,Philippines,PHL,2020,YR2020,..,..,4.108,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.149,..,..,..,..,..,68.6,..,..,75.2
Food Prices for Nutrition Data,FPN,Poland,POL,2017,YR2017,0.39,1.925,2.909,7.46,0.651,0.89,0.318,0.584,0.377,0.09,0.224,0.306,0.109,0.201,0.13,0.031,2.05,2.8,1.84,1.19,0.28,0.394,1.944,2.938,0.051,0.252,0.381,0,0.1,1,0,0,0.4
Food Prices for Nutrition Data,FPN,Poland,POL,2018,YR2018,..,..,2.986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.016,..,..,..,..,..,1.4,..,..,0.5
Food Prices for Nutrition Data,FPN,Poland,POL,2019,YR2019,..,..,3.038,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.069,..,..,..,..,..,0.8,..,..,0.3
Food Prices for Nutrition Data,FPN,Poland,POL,2020,YR2020,..,..,3.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.202,..,..,..,..,..,1,..,..,0.4
Food Prices for Nutrition Data,FPN,Portugal,PRT,2017,YR2017,0.412,1.835,2.513,6.1,0.687,0.62,0.271,0.583,0.275,0.078,0.273,0.247,0.108,0.232,0.109,0.031,2.54,2.29,2.15,1.01,0.29,0.416,1.854,2.538,0.046,0.203,0.278,0.1,0.7,1.1,0,0.1,0.1
Food Prices for Nutrition Data,FPN,Portugal,PRT,2018,YR2018,..,..,2.596,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.622,..,..,..,..,..,1.1,..,..,0.1
Food Prices for Nutrition Data,FPN,Portugal,PRT,2019,YR2019,..,..,2.579,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.605,..,..,..,..,..,0.5,..,..,0.1
Food Prices for Nutrition Data,FPN,Portugal,PRT,2020,YR2020,..,..,2.656,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.683,..,..,..,..,..,0.5,..,..,0.1
Food Prices for Nutrition Data,FPN,Qatar,QAT,2017,YR2017,0.602,1.173,2.375,3.95,0.478,0.493,0.344,0.679,0.311,0.071,0.201,0.208,0.145,0.286,0.131,0.03,1.39,1.43,1.97,0.9,0.21,0.608,1.185,2.399,0.118,0.23,0.466,..,..,..,..,..,..
